"","funds_optimal","comp"
"623",1.32378394454431,"T=5"
"624",1,"T=5"
"625",1,"T=5"
"626",1,"T=5"
"627",1.50758493888029,"T=5"
"628",1.5190303086624,"T=5"
"629",1,"T=5"
"630",1,"T=5"
"631",1.57709890698367,"T=5"
"632",1.07780889069062,"T=5"
"633",1,"T=5"
"634",1,"T=5"
"635",1,"T=5"
"636",1.61916357497283,"T=5"
"637",1,"T=5"
"638",1,"T=5"
"639",1.10416758252345,"T=5"
"640",1.18313766377282,"T=5"
"641",1.04581496170887,"T=5"
"642",1,"T=5"
"643",1,"T=5"
"644",1.1237251295569,"T=5"
"645",1.30004899180455,"T=5"
"646",1.29973791524322,"T=5"
"647",1.52825491310921,"T=5"
"648",1,"T=5"
"649",1,"T=5"
"650",1,"T=5"
"651",1.60268606411215,"T=5"
"652",1.18149695366073,"T=5"
"653",1,"T=5"
"654",1,"T=5"
"655",1.6516574484607,"T=5"
"656",1.45373721889462,"T=5"
"657",1,"T=5"
"658",1,"T=5"
"659",1,"T=5"
"660",1.04006480128701,"T=5"
"661",1.61094870591318,"T=5"
"662",1.59256402827835,"T=5"
"663",1.01653038536185,"T=5"
"664",1.72455259834175,"T=5"
"665",1.04357457473488,"T=5"
"666",1.40471033679142,"T=5"
"667",1,"T=5"
"668",1.00574223291736,"T=5"
"669",1.369096919748,"T=5"
"670",1,"T=5"
"671",1,"T=5"
"672",1.50703546907721,"T=5"
"673",1,"T=5"
"674",1.5790184896124,"T=5"
"675",1.69177102185593,"T=5"
"676",1.56764849087598,"T=5"
"677",1.50253293132427,"T=5"
"678",1.24829395757268,"T=5"
"679",1.42414890871929,"T=5"
"680",1,"T=5"
"681",1.46135334693102,"T=5"
"682",1.10794410842302,"T=5"
"683",1,"T=5"
"684",1,"T=5"
"685",1.02752592075851,"T=5"
"686",1,"T=5"
"687",1,"T=5"
"688",1.60396511745611,"T=5"
"689",1.68340751283796,"T=5"
"690",1,"T=5"
"691",1,"T=5"
"692",1,"T=5"
